Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,ASRock Incorporation,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,Apple,Time,Netgear Inc,Time,Belkin International Inc.,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electro Mechanics co., LTD.",Time,DrayTek Corp.,Time,"NETGEAR INC.,",Time,Hewlett Packard,Time,Hewlett-Packard Company,Time,"Apple, Inc.",Time,IBM Corp,Time,Dell Inc,Time,NETGEAR,Time,ASUSTek COMPUTER INC.,Time,Routerboard.com,Time,Liteon Technology Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Apple, Inc",Time,Lexmark International Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED
130,11,130,0,130,0,130,1,130,1,130,1,130,0,130,0,130,5,130,0,130,0,130,0,130,2,130,0,138,3,138,0,142,0,147,0,155,3,164,1,164,0,168,1,180,1,180,0,185,1,197,0,210,0,218,1,,,,,,,,
134,11,134,0,134,0,134,1,134,1,134,1,134,0,134,0,134,5,134,0,134,0,134,0,134,2,134,0,142,3,142,0,147,0,151,0,159,3,168,1,168,0,172,1,185,1,185,0,189,1,202,0,214,0,222,1,,,,,,,,
138,11,138,0,138,0,138,1,138,0,138,1,138,0,138,0,138,6,138,0,138,0,138,0,138,2,138,0,147,2,147,0,151,0,155,0,164,3,172,1,172,0,176,1,189,1,189,0,193,1,206,0,218,0,227,1,,,,,,,,
142,11,142,0,142,0,142,1,142,0,142,1,142,0,142,0,142,5,142,0,142,0,142,0,142,2,142,0,151,2,151,0,155,0,159,0,168,3,176,1,176,0,180,1,193,1,193,0,197,1,210,0,222,0,231,1,,,,,,,,
147,11,147,0,147,0,147,1,147,1,147,1,147,0,147,0,147,5,147,0,147,0,147,0,147,2,147,0,155,2,155,0,159,0,164,0,172,3,180,1,180,0,185,1,197,1,197,0,202,1,214,0,227,0,235,1,,,,,,,,
151,11,151,0,151,0,151,1,151,1,151,1,151,0,151,0,151,2,151,0,151,0,151,0,151,2,151,1,159,2,159,0,164,0,168,0,176,3,185,1,185,0,189,1,202,1,202,0,206,1,218,0,231,0,240,2,,,,,,,,
155,11,155,0,155,0,155,1,155,2,155,1,155,0,155,0,155,3,155,0,155,0,155,0,155,2,155,1,164,2,164,0,168,0,172,0,180,3,189,1,189,0,193,1,206,1,206,0,210,1,222,0,235,0,,,,,,,,,,
159,11,159,0,159,0,159,1,159,2,159,1,159,0,159,0,159,3,159,0,159,0,159,0,159,2,159,0,168,2,168,0,172,0,176,0,185,3,193,1,193,0,197,1,210,1,210,0,214,1,227,0,240,0,,,,,,,,,,
164,11,164,0,164,0,164,1,164,2,164,1,164,0,164,0,164,3,164,0,164,0,164,0,164,2,164,0,172,2,172,0,176,0,180,0,189,3,197,1,197,0,202,1,214,1,214,0,218,1,231,0,,,,,,,,,,,,
168,11,168,0,168,0,168,1,168,2,168,1,168,0,168,0,168,4,168,0,168,0,168,0,168,2,168,0,176,2,176,0,180,0,185,0,193,3,202,2,202,0,206,1,218,0,218,0,222,1,235,0,,,,,,,,,,,,
