Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Enerpoint Ltd.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"Samsung Electro Mechanics co., LTD.",Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Intel Corporate,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"NETGEAR INC.,",Time,"Samsung Electro Mechanics co.,LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Ubiquiti Networks,Time,Hewlett Packard,Time,IBM Corp,Time,Elitegroup Computer System Co.,Time,Liteon Tech Corp.,Time,HTC Corporation,Time,Hewlett-Packard Company,Time,"Billion Electric Co., Ltd.",Time,SEIKO EPSON CORPORATION,Time,"Murata Manufactuaring Co.,Ltd.",Time,Netgear Inc,Time,"Apple, Inc.",Time,Routerboard.com,Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electronics Co.,Ltd"
109,8,109,1,109,1,109,1,109,4,109,1,109,2,109,3,109,0,109,1,109,3,109,2,109,2,113,1,113,1,117,1,117,1,138,1,142,1,142,1,147,0,151,0,159,0,190,0,223,0,228,0,283,0,325,0,380,1,486,0,515,0,710,0,1000,0,1034,0,1389,0,1883,0,2035,0,,
113,8,113,1,113,1,113,1,113,4,113,1,113,2,113,3,113,0,113,1,113,3,113,2,113,2,117,1,117,1,121,1,121,1,142,1,147,1,147,1,151,0,155,0,164,0,194,0,228,0,232,0,286,0,329,0,384,1,489,0,520,0,714,0,1005,0,1038,0,1393,0,1887,0,2039,0,,
117,8,117,1,117,1,117,1,117,5,117,1,117,2,117,3,117,0,117,1,117,4,117,2,117,2,121,1,121,1,126,1,126,1,147,1,151,1,151,1,155,0,159,0,168,0,198,0,232,0,236,0,291,0,333,0,388,1,494,0,524,0,718,0,1009,0,1043,0,1397,0,1891,0,2043,0,,
121,8,121,1,121,1,121,1,121,5,121,1,121,2,121,3,121,0,121,1,121,4,121,2,121,2,126,1,126,1,130,1,130,1,151,1,155,1,155,1,159,0,164,0,172,1,202,0,236,1,240,0,296,0,338,0,392,0,499,0,528,0,722,0,1013,0,1047,0,1401,0,1895,0,2048,0,,
126,8,126,1,126,1,126,1,126,5,126,1,126,2,126,3,126,0,126,1,126,5,126,2,126,2,130,1,130,1,134,1,134,1,155,1,159,1,159,1,164,0,168,0,177,1,206,0,240,1,245,0,299,0,342,0,396,0,502,0,532,0,726,0,1018,0,1051,0,1406,0,1900,1,2052,0,,
130,8,130,1,130,1,130,1,130,6,130,1,130,2,130,3,130,0,130,1,130,5,130,2,130,2,134,1,134,1,138,1,138,1,159,1,164,1,164,1,168,0,172,0,181,1,210,0,245,1,248,0,304,0,346,0,401,0,507,0,536,0,731,0,1022,0,1055,0,1410,0,1904,1,2056,0,,
134,8,134,1,134,1,134,1,134,6,134,1,134,2,134,3,134,0,134,1,134,5,134,2,134,2,138,1,138,1,142,1,142,1,164,1,168,1,168,1,172,0,177,0,185,1,214,0,248,1,253,0,308,0,350,0,405,0,511,0,541,0,735,0,1026,0,1059,0,1414,0,1908,1,2060,0,,
138,8,138,1,138,1,138,1,138,6,138,1,138,2,138,3,138,0,138,1,138,6,138,2,138,2,142,1,142,1,147,1,147,1,168,1,172,1,172,1,177,1,181,0,190,1,219,0,253,1,257,0,312,0,354,0,410,0,515,0,545,0,739,0,1031,0,1064,0,1419,0,1913,1,2064,0,,
142,8,142,1,142,1,142,1,142,6,142,1,142,2,142,3,142,0,142,1,142,6,142,2,142,2,147,1,147,1,151,1,151,2,172,1,177,1,177,1,181,1,185,0,194,1,223,0,257,1,262,0,317,0,358,0,414,0,520,0,549,0,743,0,1034,0,1068,0,1422,0,1917,1,2068,0,,
147,8,147,1,147,1,147,1,147,5,147,1,147,2,147,3,147,0,147,1,147,5,147,2,147,2,151,1,151,2,155,1,155,2,177,1,181,1,181,1,185,1,190,0,198,1,228,0,262,1,266,0,321,0,363,0,418,0,524,0,553,0,748,0,1038,0,1073,0,1427,0,1921,1,2073,0,,
151,8,151,1,151,1,151,1,151,5,151,1,151,2,151,3,151,0,151,1,151,4,151,1,151,2,155,1,155,2,159,1,159,2,181,1,185,1,185,1,190,1,194,0,202,1,232,0,266,1,270,0,325,0,367,0,423,0,528,0,557,0,752,0,1043,0,1077,0,1431,0,1925,1,2077,0,,
155,9,155,1,155,1,155,1,155,5,155,1,155,2,155,3,155,0,155,1,155,4,155,1,155,2,159,1,159,2,164,1,164,2,185,1,190,1,190,0,194,1,198,0,206,1,236,0,270,1,274,0,329,0,372,0,426,0,532,0,561,0,756,0,1047,0,1081,0,1435,0,1930,1,2082,0,,
159,9,159,1,159,1,159,1,159,5,159,1,159,2,159,3,159,0,159,1,159,4,159,2,159,2,164,1,164,2,168,1,168,1,190,1,194,1,194,0,198,1,202,0,210,1,240,0,274,1,279,0,333,0,375,0,431,0,536,0,566,0,760,0,1051,0,1085,0,1440,0,1934,1,2086,0,,
164,9,164,1,164,1,164,1,164,4,164,1,164,1,164,4,164,0,164,1,164,4,164,2,164,2,168,1,168,2,172,1,172,2,194,1,198,1,198,0,202,1,206,0,214,1,245,0,279,1,283,0,338,0,380,0,435,0,541,0,570,0,764,0,1055,0,1090,0,1444,0,1938,1,2090,0,,
168,9,168,1,168,1,168,1,168,4,168,1,168,1,168,4,168,0,168,1,168,4,168,2,168,2,172,1,172,2,177,1,177,2,198,1,202,1,202,0,206,1,210,0,219,1,248,0,283,1,286,0,342,0,384,0,439,0,545,0,574,0,769,0,1059,0,1094,0,1448,0,1941,1,2094,0,,
172,9,172,1,172,1,172,1,172,4,172,0,172,1,172,4,172,0,172,1,172,5,172,2,172,2,177,1,177,2,181,1,181,2,202,1,206,1,206,0,210,1,214,0,223,1,253,0,286,1,291,0,346,0,388,0,444,0,549,0,579,0,773,0,1064,0,1097,0,1453,0,1946,1,2098,0,,
177,9,177,1,177,1,177,1,177,4,177,0,177,1,177,4,177,0,177,1,177,5,177,2,177,2,181,1,181,2,185,1,185,2,206,1,210,1,210,0,214,1,219,0,228,1,257,0,291,1,296,0,350,0,392,0,447,0,553,0,583,0,777,0,1068,0,1102,0,1457,0,1950,1,2103,0,,
181,9,181,1,181,1,181,1,181,3,181,0,181,1,181,3,181,0,181,1,181,4,181,2,181,2,185,1,185,2,190,1,190,2,210,1,214,1,214,0,219,1,223,0,232,1,262,0,296,1,299,0,354,0,396,0,452,0,557,0,587,0,781,0,1073,0,1107,0,1461,0,1955,1,2107,0,,
185,9,185,1,185,1,185,1,185,3,185,0,185,1,185,3,185,0,185,1,185,4,185,2,185,2,190,1,190,2,194,1,194,3,214,1,219,1,219,1,223,1,228,0,236,0,266,0,299,1,304,0,358,0,401,0,456,1,561,0,591,0,786,0,1077,0,1111,0,1465,0,1959,1,2111,0,,
190,9,190,1,190,1,190,1,190,2,190,0,190,1,190,3,190,0,190,1,190,2,190,2,190,2,194,1,194,2,198,2,198,3,219,1,223,1,223,1,228,1,232,0,240,0,270,0,304,1,308,0,363,0,405,0,460,1,566,0,595,0,790,0,1081,0,1115,0,1470,0,1963,0,2115,0,,
194,9,194,1,194,1,194,1,194,2,194,0,194,1,194,3,194,0,194,1,194,2,194,2,194,2,198,0,198,2,202,2,202,3,223,1,228,1,228,1,232,1,236,0,245,0,274,0,308,1,312,0,367,0,410,0,465,1,570,0,600,0,794,0,1085,0,1119,0,1474,0,1967,0,2119,0,,
198,9,198,1,198,1,198,1,198,2,198,0,198,1,198,3,198,0,198,1,198,2,198,2,198,2,202,0,202,2,206,2,206,3,228,1,232,1,232,1,236,1,240,0,248,0,279,0,312,1,317,0,372,0,414,0,469,1,574,0,604,0,798,0,1090,0,1124,0,1478,0,1972,0,2123,0,,
202,9,202,0,202,1,202,1,202,2,202,0,202,1,202,3,202,0,202,1,202,2,202,2,202,2,206,0,206,1,210,2,210,3,232,1,236,1,236,1,240,0,245,0,253,0,283,0,317,1,321,0,375,0,418,0,473,1,579,0,608,0,803,0,1094,0,1128,0,1483,0,1976,0,2127,0,,
