Time,Manual_Count,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Billion Electric Co. Ltd.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,NETGEAR,Time,"NETGEAR INC.,",Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Apple, Inc",Time,Routerboard.com,Time,Intel Corporate,Time,Hewlett Packard,Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Hewlett-Packard Company,Time,DrayTek Corp.,Time,Dell Inc,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co.,LTD.",Time,Liteon Tech Corp.,Time,SIRONA DENTAL SYSTEMS GmbH & Co. KG,Time,"Apple, Inc.",Time,Hon Hai Precision Ind.Co.Ltd,Time,"Micro-Star Int'l Co, Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Netgear Inc.,Time,IBM Corp,Time,HTC Corporation,Time,OnePlus Tech (Shenzhen) Ltd,Time,Lexmark International Inc.,Time,Microsoft Corporation,Time,Apple Inc,Time,ICP Electronics Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,Microsoft,Time,IBM,Time,"Murata Manufactuaring Co.,Ltd.",Time,Wistron Corporation,Time,Wistron InfoComm(ZhongShan) Corporation
100,7,100,0,100,0,100,2,100,4,100,1,100,1,100,3,100,2,100,0,100,1,100,1,100,0,104,0,108,1,108,0,121,1,125,0,134,0,138,0,142,0,147,0,151,0,151,0,156,0,156,0,164,0,164,0,164,0,177,0,185,0,185,0,185,0,185,0,208,0,261,0,278,0,282,0,287,0,295,0,,,,,,,,
104,7,104,0,104,0,104,2,104,4,104,1,104,1,104,3,104,2,104,0,104,1,104,1,104,0,108,0,112,2,112,0,125,0,130,0,138,0,142,0,147,0,151,0,156,0,156,0,160,0,160,0,169,0,169,0,169,0,182,0,190,0,190,0,190,0,190,0,213,0,265,0,282,0,287,0,291,0,300,0,,,,,,,,
108,7,108,0,108,0,108,1,108,0,108,1,108,0,108,1,108,2,108,1,108,1,108,1,108,0,112,0,117,2,117,1,130,0,134,0,142,0,147,0,151,0,156,0,160,0,160,0,164,0,164,0,172,0,172,0,172,0,185,0,194,0,194,0,194,0,194,0,217,0,269,0,287,0,291,0,295,0,304,0,,,,,,,,
112,7,112,1,112,0,112,1,112,2,112,1,112,1,112,1,112,2,112,1,112,1,112,1,112,0,117,0,121,1,121,1,134,0,138,0,147,0,151,0,156,0,160,0,164,0,164,0,169,0,169,0,177,0,177,0,177,0,190,1,199,0,199,0,199,0,199,0,222,0,274,0,291,0,295,0,300,0,308,0,,,,,,,,
117,7,117,1,117,0,117,1,117,3,117,1,117,1,117,2,117,2,117,1,117,1,117,1,117,0,121,0,125,0,125,0,138,0,142,0,151,0,156,1,160,0,164,0,169,0,169,0,172,0,172,0,182,0,182,0,182,0,194,1,203,0,203,1,203,0,203,0,225,0,278,0,295,0,300,0,304,0,,,,,,,,,,
121,7,121,2,121,0,121,3,121,2,121,1,121,1,121,3,121,2,121,1,121,1,121,1,121,1,125,0,130,0,130,0,142,0,147,0,156,0,160,1,164,1,169,0,172,0,172,0,177,0,177,0,185,0,185,0,185,0,199,0,208,0,208,1,208,0,208,0,230,0,282,0,300,0,304,0,308,0,,,,,,,,,,
125,7,125,2,125,0,125,3,125,3,125,1,125,1,125,2,125,2,125,0,125,1,125,1,125,1,130,0,134,0,134,0,147,0,151,0,160,0,164,1,169,1,172,0,177,0,177,0,182,0,182,0,190,1,190,0,190,0,203,0,213,0,213,0,213,0,213,0,234,0,287,0,304,0,308,0,,,,,,,,,,,,
130,7,130,2,130,0,130,2,130,3,130,1,130,0,130,1,130,2,130,1,130,1,130,1,130,0,134,0,138,1,138,0,151,0,156,0,164,0,169,1,172,0,177,0,182,0,182,0,185,0,185,0,194,1,194,0,194,0,208,0,217,0,217,0,217,0,217,0,239,0,291,0,308,0,,,,,,,,,,,,,,
134,8,134,2,134,0,134,2,134,5,134,1,134,0,134,1,134,2,134,1,134,1,134,1,134,0,138,0,142,2,142,1,156,0,160,0,169,0,172,1,177,0,182,0,185,0,185,0,190,0,190,0,199,0,199,0,199,0,213,0,222,0,222,0,222,0,222,0,243,0,295,0,,,,,,,,,,,,,,,,
138,8,138,2,138,0,138,1,138,6,138,1,138,0,138,3,138,2,138,1,138,1,138,1,138,0,142,0,147,3,147,1,160,0,164,0,172,0,177,2,182,0,185,0,190,0,190,0,194,0,194,0,203,0,203,0,203,0,217,0,225,0,225,0,225,0,225,0,248,0,300,0,,,,,,,,,,,,,,,,
142,8,142,2,142,1,142,1,142,3,142,1,142,2,142,3,142,2,142,1,142,2,142,1,142,0,147,0,151,3,151,0,164,0,169,0,177,0,182,1,185,0,190,1,194,0,194,0,199,0,199,0,208,0,208,0,208,0,222,0,230,0,230,0,230,0,230,0,252,0,304,0,,,,,,,,,,,,,,,,
147,8,147,2,147,1,147,1,147,2,147,1,147,3,147,1,147,2,147,1,147,2,147,1,147,0,151,0,156,3,156,0,169,0,172,1,182,0,185,1,190,1,194,1,199,0,199,0,203,0,203,0,213,0,213,0,213,1,225,0,234,0,234,0,234,0,234,0,256,0,308,0,,,,,,,,,,,,,,,,
151,7,151,2,151,1,151,1,151,4,151,1,151,1,151,1,151,1,151,0,151,1,151,1,151,1,156,0,160,1,160,1,172,0,177,2,185,0,190,1,194,1,199,0,203,0,203,0,208,0,208,0,217,0,217,0,217,1,230,0,239,0,239,0,239,0,239,0,261,0,,,,,,,,,,,,,,,,,,
156,7,156,2,156,1,156,2,156,6,156,1,156,0,156,2,156,2,156,0,156,1,156,1,156,1,160,0,164,1,164,1,177,0,182,2,190,0,194,0,199,0,203,0,208,0,208,0,213,0,213,0,222,0,222,0,222,0,234,0,243,0,243,0,243,0,243,0,265,0,,,,,,,,,,,,,,,,,,
160,7,160,2,160,0,160,2,160,4,160,1,160,0,160,2,160,2,160,0,160,1,160,1,160,1,164,0,169,1,169,0,182,0,185,0,194,0,199,0,203,0,208,0,213,0,213,0,217,0,217,0,225,0,225,0,225,0,239,0,248,0,248,0,248,0,248,0,269,0,,,,,,,,,,,,,,,,,,
164,7,164,0,164,0,164,1,164,4,164,1,164,2,164,1,164,2,164,0,164,1,164,1,164,0,169,0,172,1,172,0,185,0,190,0,199,0,203,0,208,0,213,0,217,0,217,0,222,0,222,0,230,0,230,0,230,0,243,0,252,0,252,0,252,0,252,0,274,0,,,,,,,,,,,,,,,,,,
169,7,169,1,169,0,169,1,169,4,169,1,169,2,169,2,169,1,169,1,169,1,169,1,169,0,172,0,177,1,177,0,190,0,194,0,203,0,208,0,213,1,217,0,222,0,222,0,225,0,225,0,234,0,234,0,234,0,248,0,256,0,256,0,256,0,256,0,278,0,,,,,,,,,,,,,,,,,,
172,7,172,2,172,1,172,3,172,1,172,1,172,2,172,2,172,1,172,1,172,1,172,1,172,0,177,0,182,1,182,0,194,0,199,0,208,0,213,0,217,1,222,0,225,0,225,0,230,0,230,0,239,0,239,0,239,0,252,0,261,0,261,0,261,0,261,0,282,0,,,,,,,,,,,,,,,,,,
177,7,177,2,177,1,177,3,177,2,177,1,177,3,177,1,177,1,177,1,177,1,177,1,177,0,182,0,185,1,185,0,199,0,203,1,213,0,217,0,222,0,225,0,230,0,230,0,234,0,234,0,243,0,243,0,243,0,256,0,265,0,265,0,265,0,265,0,287,0,,,,,,,,,,,,,,,,,,
182,7,182,3,182,1,182,1,182,4,182,1,182,1,182,1,182,1,182,1,182,1,182,1,182,1,185,0,190,1,190,0,203,0,208,2,217,0,222,0,225,0,230,0,234,1,234,0,239,0,239,0,248,0,248,0,248,0,261,0,269,0,269,0,269,0,269,0,291,0,,,,,,,,,,,,,,,,,,
185,7,185,1,185,1,185,1,185,2,185,1,185,0,185,1,185,1,185,1,185,1,185,1,185,1,190,0,194,1,194,0,208,0,213,1,222,0,225,0,230,1,234,0,239,1,239,0,243,0,243,0,252,0,252,0,252,0,265,0,274,0,274,0,274,0,274,0,295,0,,,,,,,,,,,,,,,,,,
190,7,190,0,190,0,190,2,190,2,190,1,190,0,190,1,190,1,190,1,190,1,190,1,190,0,194,0,199,1,199,0,213,0,217,1,225,0,230,0,234,1,239,0,243,0,243,0,248,0,248,0,256,0,256,0,256,0,269,0,278,0,278,0,278,0,278,0,300,0,,,,,,,,,,,,,,,,,,
194,7,194,0,194,0,194,2,194,4,194,2,194,0,194,1,194,0,194,1,194,1,194,1,194,0,199,0,203,0,203,0,217,0,222,0,230,0,234,0,239,0,243,0,248,0,248,0,252,0,252,0,261,0,261,0,261,0,274,0,282,0,282,0,282,0,282,0,304,0,,,,,,,,,,,,,,,,,,
199,7,199,0,199,0,199,1,199,2,199,2,199,0,199,2,199,0,199,1,199,1,199,1,199,0,203,0,208,1,208,0,222,0,225,1,234,0,239,0,243,0,248,0,252,0,252,0,256,0,256,0,265,0,265,0,265,0,278,0,287,0,287,0,287,0,287,0,308,0,,,,,,,,,,,,,,,,,,
203,7,203,0,203,0,203,1,203,1,203,1,203,1,203,2,203,0,203,1,203,1,203,1,203,0,208,0,213,1,213,0,225,0,230,1,239,0,243,0,248,0,252,0,256,0,256,0,261,0,261,0,269,0,269,0,269,0,282,0,291,0,291,0,291,0,291,0,,,,,,,,,,,,,,,,,,,,
208,7,208,0,208,0,208,2,208,1,208,1,208,2,208,1,208,0,208,1,208,1,208,0,208,0,213,0,217,1,217,0,230,0,234,0,243,0,248,0,252,1,256,0,261,0,261,0,265,0,265,0,274,0,274,0,274,0,287,0,295,0,295,0,295,0,295,0,,,,,,,,,,,,,,,,,,,,
213,7,213,0,213,1,213,2,213,2,213,1,213,3,213,1,213,2,213,1,213,1,213,0,213,0,217,0,222,2,222,0,234,0,239,0,248,0,252,0,256,1,261,0,265,0,265,0,269,0,269,0,278,0,278,0,278,0,291,0,300,0,300,0,300,0,300,0,,,,,,,,,,,,,,,,,,,,
217,7,217,0,217,1,217,3,217,1,217,1,217,2,217,1,217,2,217,1,217,1,217,0,217,0,222,0,225,1,225,0,239,0,243,0,252,0,256,0,261,0,265,0,269,0,269,0,274,0,274,0,282,1,282,0,282,0,295,0,304,0,304,0,304,0,304,0,,,,,,,,,,,,,,,,,,,,
222,7,222,1,222,1,222,2,222,3,222,1,222,0,222,2,222,2,222,0,222,1,222,1,222,0,225,0,230,1,230,0,243,0,248,0,256,0,261,0,265,0,269,0,274,0,274,0,278,0,278,0,287,1,287,0,287,0,300,0,308,0,308,0,308,0,308,0,,,,,,,,,,,,,,,,,,,,
225,7,225,2,225,1,225,1,225,4,225,1,225,0,225,2,225,2,225,1,225,1,225,1,225,0,230,0,234,1,234,0,248,0,252,0,261,0,265,0,269,0,274,0,278,0,278,0,282,0,282,0,291,0,291,0,291,0,304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,7,230,2,230,0,230,1,230,3,230,1,230,0,230,2,230,2,230,1,230,1,230,1,230,0,234,0,239,0,239,0,252,0,256,0,265,0,269,0,274,0,278,0,282,0,282,0,287,0,287,0,295,0,295,0,295,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,7,234,2,234,0,234,1,234,3,234,1,234,0,234,2,234,2,234,1,234,1,234,1,234,0,239,1,243,0,243,1,256,0,261,0,269,0,274,0,278,0,282,0,287,0,287,0,291,0,291,0,300,0,300,0,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,7,239,2,239,0,239,2,239,2,239,0,239,0,239,1,239,2,239,1,239,1,239,1,239,0,243,1,248,0,248,1,261,0,265,0,274,0,278,0,282,0,287,0,291,0,291,0,295,0,295,0,304,0,304,0,304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,7,243,2,243,0,243,3,243,3,243,1,243,1,243,1,243,2,243,1,243,1,243,0,243,0,248,0,252,0,252,0,265,0,269,1,278,0,282,0,287,0,291,0,295,1,295,0,300,0,300,0,308,0,308,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,7,248,2,248,0,248,3,248,2,248,1,248,2,248,1,248,2,248,1,248,1,248,1,248,0,252,0,256,2,256,0,269,0,274,1,282,0,287,0,291,1,295,0,300,1,300,0,304,0,304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,7,252,2,252,0,252,2,252,1,252,1,252,1,252,2,252,2,252,1,252,1,252,1,252,0,256,0,261,2,261,0,274,0,278,1,287,0,291,0,295,1,300,0,304,0,304,0,308,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,7,256,0,256,0,256,2,256,1,256,1,256,0,256,2,256,2,256,1,256,1,256,1,256,1,261,0,265,1,265,0,278,0,282,0,291,0,295,0,300,0,304,0,308,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,7,261,1,261,0,261,2,261,0,261,1,261,0,261,2,261,2,261,1,261,1,261,1,261,1,265,0,269,1,269,0,282,0,287,0,295,0,300,0,304,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,7,265,1,265,0,265,1,265,0,265,1,265,0,265,2,265,1,265,1,265,1,265,1,265,0,269,0,274,0,274,0,287,0,291,1,300,0,304,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,7,269,1,269,0,269,1,269,3,269,1,269,0,269,2,269,2,269,1,269,2,269,1,269,0,274,0,278,0,278,0,291,0,295,2,304,1,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,7,274,0,274,0,274,0,274,3,274,0,274,0,274,0,274,3,274,1,274,2,274,0,274,1,278,0,282,0,282,0,295,0,300,1,308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,7,278,0,278,0,278,0,278,3,278,0,278,0,278,0,278,3,278,1,278,2,278,0,278,1,282,0,287,0,287,0,300,0,304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,7,282,1,282,0,282,1,282,1,282,1,282,0,282,2,282,2,282,0,282,1,282,1,282,0,287,0,291,0,291,0,304,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,7,287,1,287,0,287,2,287,1,287,1,287,0,287,2,287,2,287,1,287,1,287,1,287,0,291,0,295,0,295,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,7,291,1,291,1,291,2,291,1,291,1,291,0,291,2,291,2,291,1,291,1,291,1,291,0,295,0,300,0,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,7,295,1,295,1,295,1,295,2,295,1,295,0,295,1,295,2,295,1,295,1,295,1,295,0,300,0,304,0,304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,7,300,1,300,1,300,1,300,3,300,1,300,0,300,1,300,2,300,0,300,1,300,1,300,0,304,0,308,1,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,7,304,1,304,1,304,2,304,2,304,1,304,0,304,1,304,2,304,1,304,1,304,0,304,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,7,308,1,308,0,308,2,308,2,308,1,308,0,308,2,308,2,308,1,308,1,308,0,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
