Time,Manual_Count,Time,Intel Corporate,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Microsoft Corporation,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Belkin International Inc.,Time,Netgear Inc.,Time,"Murata Manufactuaring Co.,Ltd.",Time,Hewlett Packard,Time,"Micro-Star Int'l Co, Ltd",Time,"Huawei Technologies Co., Ltd",Time,HTC Corporation,Time,"Apple, Inc",Time,SEIKO EPSON CORPORATION,Time,IBM Corp,Time,IBM,Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electronics Co.,Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"ELITEGROUP COMPUTER SYSTEM CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electro Mechanics co., LTD.",Time,ASUSTek COMPUTER INC.,Time,"Samsung Electronics Co., LTD",Time,Apple Inc,Time,"Apple, Inc.",Time,WISOL
,,156,0,156,0,156,2,156,0,156,1,156,1,156,3,156,2,156,3,156,2,156,1,160,1,165,1,191,0,217,0,217,1,230,1,243,0,256,0,279,0,288,0,288,0,314,0,318,0,327,0,336,0,410,0,432,0,528,0,563,0,593,0,,,,,,
,,160,0,160,0,160,2,160,0,160,1,160,1,160,3,160,2,160,3,160,2,160,1,165,1,169,1,195,0,221,0,221,1,234,1,247,0,261,0,284,0,292,0,292,0,318,0,323,0,332,0,340,0,414,0,436,0,532,0,567,0,597,0,,,,,,
,,165,0,165,0,165,2,165,0,165,1,165,1,165,3,165,2,165,3,165,2,165,1,169,1,174,1,199,0,225,0,225,1,238,1,252,0,270,0,288,0,297,0,297,1,323,0,327,0,336,0,345,0,419,0,441,0,537,0,571,0,602,0,,,,,,
,,169,0,169,0,169,2,169,0,169,1,169,1,169,3,169,2,169,3,169,2,169,1,174,1,178,1,204,0,230,0,230,1,243,1,256,0,275,0,292,0,301,0,301,1,327,0,332,0,340,0,349,0,423,0,445,0,541,0,576,0,,,,,,,,
,,174,0,174,0,174,2,174,0,174,1,174,1,174,3,174,2,174,4,174,1,174,1,178,1,182,1,208,0,234,0,234,1,247,1,261,0,279,1,297,0,306,0,306,1,332,0,336,0,345,0,353,0,427,0,449,0,546,0,580,0,,,,,,,,
,,178,0,178,0,178,2,178,0,178,1,178,1,178,3,178,2,178,4,178,1,178,1,182,1,186,1,212,0,238,0,238,1,252,1,270,0,284,1,301,1,310,0,310,1,336,0,340,0,349,0,358,0,432,0,454,1,550,0,585,0,,,,,,,,
,,182,0,182,1,182,2,182,0,182,1,182,1,182,3,182,2,182,4,182,1,182,1,186,1,191,1,217,0,243,0,243,0,256,1,275,0,288,1,306,1,314,0,314,1,340,0,345,0,353,0,362,0,436,0,458,1,554,0,589,0,,,,,,,,
,,186,0,186,1,186,2,186,0,186,1,186,1,186,3,186,2,186,4,186,1,186,1,191,1,195,1,221,0,247,1,247,0,261,1,279,0,292,1,310,1,318,0,318,1,345,0,349,0,358,0,366,0,441,0,462,1,559,0,593,0,,,,,,,,
,,191,1,191,1,191,2,191,0,191,1,191,1,191,3,191,2,191,3,191,1,191,1,195,1,199,1,225,0,252,1,252,0,270,1,284,0,297,1,314,1,323,0,323,0,349,0,353,0,362,0,370,0,445,0,467,1,563,0,597,0,,,,,,,,
,,195,1,195,1,195,2,195,0,195,1,195,1,195,3,195,2,195,3,195,1,195,1,199,1,204,1,230,0,256,2,256,1,275,1,288,0,301,1,318,1,327,0,327,0,353,0,358,0,366,0,375,0,449,0,471,1,567,0,602,0,,,,,,,,
