Time,Manual_Count,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,Intel Corporate,Time,Dell Inc,Time,Netgear Inc,Time,"Apple, Inc.",Time,"Apple, Inc",Time,Hewlett-Packard Company,Time,D-Link International,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,IBM Corp,Time,Ubiquiti Networks,Time,ASUSTek COMPUTER INC.,Time,Liteon Tech Corp.,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Microsoft,Time,"SAMSUNG ELECTRO MECHANICS CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electronics Co.,Ltd",Time,ASRock Incorporation,Time,Routerboard.com,Time,Apple Inc,Time,"Samsung Electro Mechanics co., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Sony Mobile Communications AB
149,15,149,1,149,0,149,2,149,1,149,2,149,1,149,5,149,2,149,1,154,0,154,1,159,2,159,1,159,1,163,0,163,1,167,0,171,0,188,1,188,1,196,1,205,1,205,2,222,0,230,1,234,0,234,0,234,0,327,1,344,0,365,1,374,2,386,0,399,1,,,,
154,15,154,1,154,0,154,2,154,1,154,2,154,1,154,6,154,2,154,1,159,0,159,1,163,1,163,0,163,1,167,1,167,1,171,1,175,0,192,1,192,1,200,1,208,1,208,1,226,0,234,1,238,0,238,0,238,0,331,0,348,0,370,1,378,2,391,0,403,1,,,,
159,15,159,1,159,1,159,3,159,1,159,2,159,1,159,6,159,2,159,1,163,0,163,1,167,1,167,0,167,1,171,1,171,1,175,1,179,0,196,1,196,1,205,1,213,1,213,1,230,0,238,1,242,0,242,0,242,0,336,0,352,0,374,1,383,2,394,0,408,0,,,,
163,15,163,1,163,1,163,3,163,1,163,2,163,1,163,7,163,2,163,1,167,0,167,1,171,2,171,0,171,1,175,1,175,1,179,1,183,0,200,1,200,0,208,1,217,1,217,1,234,0,242,1,247,0,247,0,247,0,340,0,357,0,378,0,386,2,399,0,,,,,,
167,15,167,1,167,2,167,3,167,1,167,2,167,1,167,6,167,2,167,1,171,0,171,1,175,2,175,0,175,1,179,1,179,1,183,1,188,1,205,1,205,0,213,1,222,1,222,1,238,0,247,1,251,0,251,0,251,0,344,0,361,0,383,0,391,2,403,0,,,,,,
171,15,171,1,171,2,171,4,171,1,171,2,171,1,171,7,171,2,171,1,175,0,175,1,179,2,179,0,179,1,183,1,183,1,188,1,192,1,208,1,208,0,217,1,226,1,226,0,242,0,251,1,256,0,256,0,256,0,348,0,365,0,386,0,394,2,408,0,,,,,,
175,15,175,1,175,3,175,4,175,1,175,2,175,1,175,7,175,2,175,1,179,0,179,1,183,2,183,0,183,1,188,1,188,1,192,1,196,1,213,1,213,0,222,0,230,1,230,0,247,0,256,1,260,0,260,0,260,0,352,0,370,0,391,0,399,2,,,,,,,,
179,15,179,1,179,3,179,4,179,1,179,1,179,1,179,8,179,2,179,1,183,0,183,1,188,2,188,1,188,1,192,1,192,1,196,1,200,1,217,1,217,1,226,0,234,1,234,0,251,0,260,1,264,0,264,0,264,0,357,0,374,0,394,0,403,2,,,,,,,,
183,15,183,1,183,3,183,5,183,1,183,1,183,1,183,9,183,2,183,1,188,0,188,1,192,2,192,1,192,1,196,1,196,0,200,1,205,1,222,1,222,1,230,0,238,1,238,0,256,1,264,1,268,1,268,0,268,0,361,0,378,0,399,0,408,1,,,,,,,,
188,15,188,1,188,3,188,4,188,1,188,1,188,1,188,10,188,2,188,1,192,1,192,1,196,2,196,1,196,1,200,0,200,0,205,0,208,1,226,1,226,1,234,0,242,1,242,0,260,1,268,1,272,1,272,0,272,0,365,0,383,0,403,0,,,,,,,,,,
192,15,192,1,192,3,192,4,192,1,192,1,192,1,192,10,192,2,192,1,196,1,196,1,200,2,200,1,200,1,205,0,205,0,208,0,213,1,230,1,230,1,238,1,247,1,247,0,264,1,272,1,277,1,277,0,277,0,370,0,386,0,408,1,,,,,,,,,,
