Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,NETGEAR,Time,DrayTek Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,D-Link International,Time,Netgear Inc,Time,"NETGEAR INC.,",Time,ASRock Incorporation,Time,Routerboard.com,Time,ASUSTek COMPUTER INC.,Time,ASUSTek COMPUTER INC.,Time,"Apple, Inc",Time,ASUSTek COMPUTER INC.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett-Packard Company,Time,IBM Corp,Time,Netgear Inc.,Time,Apple Inc,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,PEGATRON CORPORATION,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Dell Inc,Time,Hewlett Packard,Time,Liteon Technology Corporation,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,HTC Corporation,Time,Sony Mobile Communications AB,Time,"Apple, Inc.",Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"AzureWave Technologies, Inc.",Time,Microsoft,Time,Belkin International Inc.
99,9,99,1,99,1,99,5,99,2,99,3,99,1,99,2,99,1,104,1,104,1,108,1,108,5,112,1,117,1,117,1,125,0,133,1,138,2,142,2,142,0,146,2,146,0,150,3,150,1,155,1,163,0,167,1,176,0,180,0,196,0,196,3,222,0,235,0,243,0,260,0,290,0,315,0,323,0,327,0,,,,,,
104,9,104,1,104,1,104,5,104,3,104,3,104,1,104,2,104,1,108,1,108,1,112,1,112,6,117,1,121,1,121,1,130,0,138,1,142,2,146,2,146,0,150,2,150,0,155,3,155,1,159,1,167,0,172,1,180,0,184,0,201,0,201,3,226,0,239,0,247,0,264,0,293,0,319,0,327,0,332,0,,,,,,
108,9,108,1,108,1,108,5,108,3,108,3,108,1,108,2,108,1,112,1,112,1,117,1,117,5,121,1,125,1,125,1,133,1,142,1,146,2,150,2,150,0,155,2,155,0,159,3,159,0,163,1,172,0,176,1,184,0,188,0,205,0,205,3,230,0,243,0,251,0,268,0,297,0,323,0,332,0,336,0,,,,,,
112,9,112,1,112,1,112,5,112,3,112,3,112,1,112,2,112,1,117,1,117,1,121,1,121,5,125,1,130,1,130,1,138,1,146,1,150,2,155,2,155,0,159,2,159,1,163,3,163,0,167,1,176,0,180,0,188,0,193,0,210,1,210,3,235,0,247,0,256,0,272,0,302,0,327,0,336,0,,,,,,,,
117,9,117,1,117,1,117,5,117,3,117,3,117,1,117,2,117,1,121,1,121,1,125,1,125,5,130,1,133,1,133,0,142,1,150,1,155,2,159,2,159,0,163,2,163,1,167,3,167,0,172,1,180,0,184,0,193,0,196,0,213,1,213,2,239,0,251,0,260,0,277,0,306,0,332,0,,,,,,,,,,
121,9,121,1,121,1,121,4,121,4,121,1,121,1,121,2,121,1,125,1,125,1,130,1,130,5,133,1,138,1,138,1,146,1,155,1,159,2,163,2,163,1,167,2,167,1,172,3,172,0,176,1,184,0,188,0,196,0,201,0,218,1,218,2,243,1,256,0,264,0,281,0,310,0,336,0,,,,,,,,,,
125,9,125,1,125,1,125,3,125,5,125,1,125,1,125,2,125,1,130,1,130,1,133,0,133,5,138,1,142,1,142,1,150,1,159,0,163,2,167,2,167,1,172,2,172,1,176,3,176,0,180,1,188,0,193,0,201,0,205,0,222,1,222,2,247,1,260,1,268,0,285,0,315,0,,,,,,,,,,,,
130,9,130,1,130,1,130,3,130,6,130,1,130,1,130,2,130,1,133,1,133,1,138,0,138,3,142,1,146,1,146,1,155,1,163,0,167,2,172,2,172,1,176,2,176,1,180,1,180,0,184,0,193,0,196,0,205,0,210,0,226,1,226,3,251,1,264,1,272,0,290,0,319,0,,,,,,,,,,,,
133,9,133,1,133,1,133,2,133,5,133,1,133,1,133,2,133,1,138,1,138,1,142,1,142,2,146,1,150,1,150,1,159,1,167,0,172,2,176,2,176,1,180,2,180,1,184,1,184,0,188,0,196,0,201,0,210,0,213,0,230,1,230,1,256,1,268,1,277,0,293,0,323,0,,,,,,,,,,,,
138,9,138,2,138,1,138,2,138,6,138,1,138,1,138,2,138,1,142,1,142,1,146,1,146,3,150,1,155,1,155,1,163,0,172,1,176,2,180,2,180,1,184,2,184,1,188,1,188,0,193,0,201,0,205,0,213,0,218,0,235,1,235,1,260,1,272,1,281,0,297,0,327,0,,,,,,,,,,,,
