Time,Manual_Count,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,Routerboard.com,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,IBM Corp,Time,"Samsung Electro Mechanics co.,LTD.",Time,LG Electronics,Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc",Time,Liteon Technology Corporation,Time,"Micro-Star Int'l Co, Ltd",Time,Hon Hai Precision Ind.Co.Ltd,Time,Intel Corporate,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,"Huawei Technologies Co., Ltd",Time,Ubiquiti Networks,Time,"Apple, Inc.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Microsoft Corporation
,,190,2,190,1,190,2,190,0,190,2,190,2,190,1,190,1,194,1,194,0,194,1,198,1,198,0,220,0,224,1,224,0,251,0,263,0,281,0,285,0,298,1,,,,,,,,,,,,,,
,,194,2,194,1,194,2,194,0,194,2,194,3,194,1,194,1,198,1,198,0,198,1,203,1,203,0,224,0,229,1,229,0,255,0,268,0,285,0,290,0,303,1,,,,,,,,,,,,,,
,,198,1,198,1,198,2,198,0,198,2,198,3,198,1,198,1,203,1,203,0,203,1,208,1,208,0,229,0,233,1,233,0,259,0,272,0,290,0,294,0,307,1,,,,,,,,,,,,,,
,,203,1,203,1,203,2,203,0,203,2,203,2,203,1,203,2,208,1,208,0,208,1,212,1,212,0,233,0,237,1,237,0,263,0,276,0,294,0,298,0,311,1,,,,,,,,,,,,,,
,,208,1,208,1,208,2,208,0,208,2,208,4,208,1,208,2,212,1,212,0,212,1,216,1,216,0,237,0,242,1,242,0,268,0,281,0,298,0,303,0,316,1,,,,,,,,,,,,,,
,,212,2,212,1,212,2,212,0,212,2,212,4,212,1,212,2,216,1,216,0,216,1,220,0,220,0,242,0,247,1,247,0,272,0,285,0,303,0,307,0,320,1,,,,,,,,,,,,,,
,,216,2,216,1,216,2,216,0,216,2,216,4,216,1,216,2,220,1,220,0,220,1,224,0,224,0,247,0,251,0,251,1,276,0,290,0,307,0,311,0,325,1,,,,,,,,,,,,,,
,,220,3,220,1,220,2,220,0,220,2,220,4,220,1,220,2,224,1,224,0,224,1,229,0,229,0,251,0,255,0,255,1,281,0,294,0,311,0,316,0,329,1,,,,,,,,,,,,,,
,,224,3,224,1,224,2,224,0,224,2,224,4,224,1,224,2,229,1,229,0,229,1,233,0,233,0,255,0,259,0,259,1,285,0,298,0,316,0,320,0,333,1,,,,,,,,,,,,,,
,,229,3,229,1,229,3,229,0,229,2,229,4,229,1,229,2,233,1,233,0,233,1,237,0,237,0,259,0,263,0,263,1,290,0,303,0,320,0,325,0,337,1,,,,,,,,,,,,,,
,,233,3,233,1,233,3,233,0,233,2,233,3,233,1,233,2,237,1,237,0,237,1,242,0,242,0,263,0,268,0,268,1,294,0,307,0,325,1,329,0,341,1,,,,,,,,,,,,,,
,,237,3,237,1,237,3,237,0,237,2,237,4,237,1,237,2,242,1,242,0,242,1,247,0,247,0,268,0,272,0,272,1,298,0,311,0,329,1,333,1,346,1,,,,,,,,,,,,,,
,,242,3,242,1,242,2,242,0,242,2,242,4,242,1,242,2,247,2,247,0,247,1,251,0,251,0,272,0,276,0,276,0,303,1,316,0,333,1,337,1,350,1,,,,,,,,,,,,,,
,,247,2,247,1,247,2,247,0,247,2,247,3,247,1,247,2,251,2,251,0,251,1,255,0,255,0,276,0,281,1,281,0,307,1,320,0,337,1,341,1,354,2,,,,,,,,,,,,,,
,,251,2,251,1,251,2,251,0,251,2,251,3,251,2,251,2,255,2,255,0,255,1,259,0,259,0,281,0,285,1,285,0,311,1,325,0,341,1,346,1,,,,,,,,,,,,,,,,
,,255,1,255,1,255,2,255,0,255,2,255,3,255,2,255,2,259,2,259,0,259,1,263,0,263,0,285,0,290,1,290,0,316,1,329,0,346,1,350,1,,,,,,,,,,,,,,,,
,,259,2,259,1,259,2,259,0,259,2,259,2,259,2,259,2,263,2,263,0,263,1,268,0,268,0,290,0,294,1,294,0,320,1,333,0,350,0,354,1,,,,,,,,,,,,,,,,
,,263,2,263,1,263,2,263,0,263,2,263,1,263,2,263,2,268,2,268,0,268,1,272,0,272,0,294,0,298,1,298,0,325,1,337,0,354,0,,,,,,,,,,,,,,,,,,
,,268,2,268,1,268,2,268,0,268,2,268,3,268,2,268,2,272,2,272,0,272,1,276,0,276,1,298,0,303,1,303,0,329,0,341,0,,,,,,,,,,,,,,,,,,,,
