Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Intel Corporate,Time,D-Link International,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Hewlett-Packard Company,Time,DrayTek Corp.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,Dell Inc,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,"Murata Manufacturing Co.,Ltd.",Time,SEIKO EPSON CORPORATION,Time,Microsoft Corporation,Time,Ubiquiti Networks,Time,Lexmark International Inc.,Time,Routerboard.com,Time,"Apple, Inc.",Time,FUJI-XEROX CO. LTD.,Time,"Micro-Star Int'l Co, Ltd",Time,HTC Corporation,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,"Samsung Electro Mechanics co., LTD.",Time,Elitegroup Computer System Co.,Time,ICP Electronics Inc.,Time,IBM,Time,Wistron Corporation,Time,IBM Corp,Time,"Samsung Electro Mechanics co.,LTD.",Time,Apple Inc,Time,Wistron InfoComm(ZhongShan) Corporation,Time,Microsoft,Time,WISOL
167,10,167,1,167,1,167,3,167,1,167,3,167,2,167,1,167,10,167,2,167,1,171,3,171,1,171,0,171,1,171,2,176,0,180,0,185,3,185,2,198,1,202,2,202,0,215,0,215,0,223,0,228,0,271,0,284,1,332,0,332,0,336,0,341,0,392,1,402,0,406,0,437,1,454,0,458,0,523,0,566,0,,,,,,
171,10,171,0,171,1,171,3,171,1,171,3,171,2,171,1,171,10,171,2,171,1,176,2,176,1,176,0,176,1,176,2,180,0,185,0,189,3,189,4,202,1,206,2,206,0,219,0,219,0,228,1,232,0,276,0,288,1,336,0,336,0,341,0,345,0,397,1,406,0,411,0,441,0,458,0,462,0,528,0,570,0,,,,,,
176,10,176,0,176,1,176,3,176,1,176,2,176,2,176,1,176,10,176,2,176,1,180,3,180,1,180,1,180,1,180,2,185,0,189,0,193,3,193,5,206,1,210,2,210,0,223,0,223,0,232,1,236,0,279,0,293,1,341,0,341,0,345,0,349,0,402,1,411,0,415,0,446,0,462,0,467,0,532,0,576,0,,,,,,
180,10,180,0,180,1,180,3,180,1,180,3,180,2,180,1,180,10,180,2,180,1,185,3,185,1,185,1,185,1,185,2,189,0,193,0,198,3,198,5,210,1,215,2,215,0,228,0,228,1,236,1,241,0,284,0,297,0,345,0,345,1,349,0,354,0,406,1,415,0,419,0,450,0,467,0,471,0,536,0,580,0,,,,,,
185,10,185,0,185,1,185,3,185,1,185,3,185,2,185,1,185,10,185,2,185,1,189,3,189,1,189,1,189,1,189,2,193,1,198,0,202,3,202,4,215,1,219,2,219,0,232,1,232,1,241,1,245,0,288,0,301,1,349,0,349,1,354,0,358,0,411,1,419,0,424,0,454,0,471,0,475,0,540,0,584,0,,,,,,
189,10,189,0,189,1,189,3,189,1,189,3,189,2,189,1,189,8,189,2,189,1,193,3,193,1,193,1,193,1,193,2,198,1,202,0,206,3,206,4,219,1,223,3,223,0,236,1,236,1,245,1,250,0,293,0,306,1,354,0,354,1,358,0,363,0,415,1,424,0,428,0,458,0,475,0,480,0,544,0,588,0,,,,,,
193,10,193,1,193,1,193,3,193,1,193,3,193,2,193,1,193,6,193,2,193,1,198,2,198,1,198,1,198,1,198,2,202,1,206,0,210,3,210,4,223,1,228,3,228,0,241,1,241,1,250,1,253,0,297,0,310,1,358,0,358,1,363,0,367,0,419,1,428,0,432,0,462,0,480,0,484,0,549,0,592,0,,,,,,
198,10,198,1,198,1,198,4,198,1,198,3,198,2,198,1,198,6,198,2,198,1,202,3,202,1,202,1,202,1,202,2,206,1,210,0,215,3,215,4,228,1,232,2,232,0,245,1,245,1,253,1,258,0,301,0,314,1,363,0,363,1,367,0,371,0,424,1,432,0,437,0,467,0,484,0,488,0,554,0,597,0,,,,,,
202,10,202,1,202,1,202,4,202,1,202,3,202,2,202,1,202,7,202,2,202,1,206,3,206,1,206,1,206,1,206,2,210,1,215,0,219,3,219,3,232,1,236,2,236,0,250,1,250,1,258,1,262,0,306,0,319,1,367,0,367,1,371,0,375,0,428,0,437,0,441,0,471,0,488,0,493,0,558,0,601,0,,,,,,
206,9,206,1,206,1,206,4,206,1,206,3,206,2,206,1,206,7,206,2,206,1,210,2,210,1,210,1,210,1,210,2,215,1,219,0,223,3,223,4,236,1,241,2,241,0,253,1,253,1,262,1,267,0,310,0,323,1,371,0,371,1,375,0,380,0,432,0,441,0,446,0,475,0,493,0,497,0,562,0,605,0,,,,,,
210,10,210,1,210,1,210,3,210,1,210,3,210,2,210,1,210,6,210,2,210,1,215,2,215,1,215,1,215,1,215,2,219,1,223,0,228,3,228,5,241,1,245,2,245,0,258,1,258,1,267,1,271,0,314,0,328,1,375,0,375,1,380,0,384,0,437,0,446,0,450,0,480,0,497,0,502,0,566,0,610,0,,,,,,
215,10,215,1,215,1,215,3,215,1,215,3,215,2,215,1,215,5,215,2,215,1,219,2,219,1,219,1,219,1,219,2,223,1,228,0,232,3,232,4,245,0,250,2,250,0,262,1,262,1,271,0,276,0,319,0,332,1,380,0,380,1,384,0,388,0,441,0,450,0,454,0,484,1,502,0,506,0,570,0,615,1,,,,,,
219,10,219,1,219,1,219,3,219,1,219,3,219,2,219,1,219,4,219,2,219,1,223,2,223,1,223,0,223,1,223,2,228,1,232,0,236,3,236,3,250,0,253,1,253,0,267,1,267,1,276,0,279,0,323,0,336,1,384,0,384,1,388,0,392,0,446,0,454,0,458,0,488,1,506,0,510,0,576,0,619,1,,,,,,
