Time,Manual_Count,Time,Netgear Inc.,Time,UNKNOWN,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,Intel Corporate,Time,"Huawei Technologies Co., Ltd",Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,Liteon Technology Corporation,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Apple Inc,Time,Liteon Tech Corp.,Time,"Samsung Electro Mechanics co., LTD.",Time,Motorola Mobility LLC,Time,Routerboard.com,Time,Ubiquiti Networks,Time,IBM Corp
,,170,1,170,3,170,1,170,1,170,2,170,3,170,2,170,1,170,1,174,1,183,1,200,1,204,0,222,2,226,0,231,1,252,0,256,0,308,0,308,0,377,0,386,0,446,0,476,0,481,0,564,0,585,0,594,0
,,174,1,174,3,174,1,174,1,174,2,174,3,174,2,174,1,174,1,178,1,187,1,204,1,209,1,226,2,231,0,235,1,256,0,261,0,312,0,312,0,381,0,391,0,451,0,481,0,485,0,568,0,590,0,599,0
,,178,1,178,3,178,1,178,1,178,2,178,3,178,2,178,1,178,1,183,1,191,1,209,1,213,1,231,2,235,0,240,1,261,1,265,0,316,0,316,0,386,0,395,0,455,0,485,0,489,0,573,0,594,0,603,0
,,183,1,183,3,183,1,183,1,183,2,183,2,183,2,183,1,183,1,187,1,196,1,213,1,218,1,235,2,240,0,244,1,265,1,269,0,321,0,321,0,391,0,399,0,459,0,489,0,494,0,577,0,599,0,,
,,187,0,187,4,187,1,187,1,187,2,187,2,187,2,187,1,187,1,191,1,200,1,218,1,222,1,240,2,244,0,248,1,269,1,274,0,326,0,326,0,395,0,403,0,463,1,494,0,498,0,581,0,603,0,,
,,191,0,191,4,191,1,191,1,191,2,191,2,191,2,191,1,191,1,196,1,204,1,222,1,226,1,244,2,248,0,252,0,274,1,278,0,330,0,330,0,399,0,408,0,468,1,498,0,502,0,585,0,,,,
,,196,0,196,4,196,1,196,1,196,2,196,3,196,2,196,1,196,1,200,1,209,2,226,1,231,1,248,2,252,0,256,0,278,1,277,0,334,0,334,0,403,0,412,0,473,1,502,0,507,0,590,0,,,,
,,200,0,200,4,200,1,200,1,200,2,200,4,200,2,200,1,200,1,204,1,213,2,231,0,235,1,252,2,256,0,261,0,277,1,281,0,338,0,338,0,408,0,416,0,476,1,507,0,511,0,594,0,,,,
,,204,0,204,4,204,1,204,1,204,2,204,3,204,2,204,1,204,1,209,1,218,1,235,0,240,1,256,2,261,0,265,0,281,1,286,0,343,0,343,0,412,0,421,0,481,1,511,0,516,0,599,0,,,,
,,209,0,209,4,209,1,209,1,209,2,209,3,209,2,209,1,209,1,213,1,222,1,240,0,244,1,261,2,265,0,269,0,286,0,290,0,347,0,347,0,416,0,425,0,485,1,516,0,520,0,603,0,,,,
,,213,0,213,3,213,1,213,1,213,2,213,2,213,2,213,1,213,1,218,1,226,1,244,0,248,1,265,2,269,0,274,0,290,0,295,0,352,0,352,0,421,0,429,0,489,1,520,0,525,0,,,,,,
,,218,0,218,3,218,1,218,1,218,2,218,2,218,2,218,1,218,1,222,1,231,2,248,0,252,1,269,2,274,0,278,0,295,0,299,0,356,0,356,0,425,0,434,0,494,0,525,0,529,0,,,,,,
,,222,0,222,3,222,1,222,1,222,2,222,2,222,2,222,1,222,1,226,1,235,1,252,0,256,1,274,2,278,0,277,0,299,0,303,0,360,0,360,0,429,0,438,0,498,0,529,0,533,0,,,,,,
,,226,0,226,2,226,1,226,1,226,2,226,2,226,2,226,1,226,1,231,1,240,1,256,0,261,1,278,2,277,0,281,0,303,0,308,0,364,0,364,0,434,0,442,0,502,0,533,0,537,0,,,,,,
,,231,0,231,2,231,1,231,1,231,2,231,3,231,2,231,1,231,1,235,1,244,1,261,0,265,1,277,2,281,0,286,0,308,0,312,0,369,0,369,0,438,0,446,0,507,0,537,0,542,0,,,,,,
,,235,0,235,2,235,1,235,1,235,2,235,3,235,2,235,1,235,1,240,1,248,1,265,0,269,0,281,2,286,0,290,0,312,0,316,0,373,0,373,0,442,0,451,0,511,0,542,0,546,0,,,,,,
,,240,0,240,2,240,1,240,1,240,2,240,3,240,2,240,1,240,1,244,1,252,1,269,0,274,1,286,2,290,0,295,0,316,0,321,0,377,0,377,0,446,0,455,0,516,0,546,0,551,0,,,,,,
,,244,0,244,2,244,1,244,1,244,2,244,3,244,2,244,1,244,1,248,1,256,0,274,0,278,1,290,2,295,1,299,0,321,0,326,0,381,0,381,0,451,0,459,0,520,0,551,0,555,0,,,,,,
,,248,0,248,2,248,1,248,1,248,2,248,1,248,2,248,1,248,1,252,1,261,0,278,0,277,1,295,2,299,1,303,1,326,0,330,0,386,0,386,0,455,0,463,0,525,0,555,0,559,0,,,,,,
,,252,0,252,3,252,1,252,1,252,2,252,2,252,2,252,1,252,1,256,1,265,1,277,0,281,1,299,2,303,1,308,1,330,0,334,0,391,0,391,0,459,0,468,0,529,0,559,0,564,0,,,,,,
,,256,0,256,3,256,1,256,1,256,2,256,2,256,1,256,1,256,1,261,1,269,1,281,0,286,1,303,2,308,1,312,1,334,0,338,0,395,0,395,0,463,1,473,0,533,0,564,0,568,0,,,,,,
